Unique Measurement Techniques,Obtained from how_dist_meas and how_dist_detail columns on measure_equity csv
Ordinary least squares,
Spatial hot spot analysis,
Chi-squared test,
Bivariate correlation,
Logistic regression,
Mean,
Algebraic difference,
Social welfare function,
Fmsb risk ratio test,
Index,
Median,
Sum,
Geographic weighted regression,
Spatial lag model,
Spatial error model,
Zero-inflated general linear mixed model,
Proportion,
Gini coefficient,
Distance,
Mean difference,
F-test,
T-test,
General estimating equation,
Local indicators of spatial association,
Boxplots,